#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AppleMobileDeviceService","0","229","4461993984","7008256","3801088","20832","C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe","Apple Inc.","9.015625","423.208.1.8","","MobileDeviceService","","Process","8",,"False",,"3244","Microsoft.Win32.SafeHandles.SafeProcessHandle","229","3460",".","0","","System.Diagnostics.ProcessModule (AppleMobileDeviceService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20832","20832","3801088","3801088","251960","251960","3862528","3862528","13205504","13205504","171220992","4466188288","True","Normal","3801088","3801088","00:00:04.6875000","AppleMobileDeviceService","255","True","0","System.Diagnostics.ProcessStartInfo","02/03/2019 19:09:15",,"System.Diagnostics.ProcessThreadCollection","00:00:09.0156250","00:00:04.3281250","167026688","4461993984","False",,,,"7008256","7008256",,
"ApplicationFrameHost","2","492","2203596308480","34377728","32305152","28008","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.4375","10.0.17134.1 (WinBuild.160101.0800)","10.0.17134.1","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3388","Microsoft.Win32.SafeHandles.SafeProcessHandle","492","14104",".","527922","Microsoft Store","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28008","28008","32305152","32305152","422272","422272","33894400","33894400","37568512","37568512","314073088","2203632295936","True","Normal","32305152","32305152","00:00:00.3125000","ApplicationFrameHost","255","True","2","System.Diagnostics.ProcessStartInfo","03/03/2019 19:02:36",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4375000","00:00:00.1250000","278085632","2203596308480","False",,,,"34377728","34377728",,
"audiodg","0","730","2203443232768","21831680","24625152","19360","C:\WINDOWS\system32\AUDIODG.EXE","Microsoft Corporation","2398.40625","10.0.17134.641 (WinBuild.160101.0800)","10.0.17134.641","Isolation graphique de p?riph?rique audio Windows ","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4848","Microsoft.Win32.SafeHandles.SafeProcessHandle","730","6444",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","11067392","9859072","System.Diagnostics.ProcessModuleCollection","19360","19360","24625152","24625152","132928","132928","27373568","27373568","26836992","26836992","130015232","2203448238080","True","Normal","24625152","24625152","00:16:49.7656250","audiodg","255","True","0","System.Diagnostics.ProcessStartInfo","02/03/2019 19:09:17",,"System.Diagnostics.ProcessThreadCollection","00:39:58.4062500","00:23:08.6406250","125009920","2203443232768","False",,,,"21831680","21831680",,
"browser_broker","2","162","2203432603648","9371648","2068480","10992","C:\WINDOWS\system32\browser_broker.exe","Microsoft Corporation","0.0625","11.00.17134.590 (WinBuild.160101.0800)","11.00.17134.590","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"1748","Microsoft.Win32.SafeHandles.SafeProcessHandle","162","7496",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10992","10992","2068480","2068480","156232","156232","2244608","2244608","9654272","9654272","117002240","2203435225088","True","Normal","2068480","2068480","00:00:00.0468750","browser_broker","255","True","2","System.Diagnostics.ProcessStartInfo","03/03/2019 19:02:57",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","114380800","2203432603648","False",,,,"9371648","9371648",,
"Calculator","2","527","4811403264","39784448","27975680","30168","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1812.10048.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.515625","10.1812.1901.04008","10.1812.190104008","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"1760","Microsoft.Win32.SafeHandles.SafeProcessHandle","527","7036",".","659388","Calculatrice","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30168","30168","27975680","27975680","626664","626664","29839360","29839360","55447552","55447552","520630272","4815597568","True","Normal","27975680","27975680","00:00:00.2343750","Calculator","255","False","2","System.Diagnostics.ProcessStartInfo","03/03/2019 19:03:07",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","00:00:00.2812500","516435968","4811403264","False",,,,"39784448","39784448",,
"cbService","0","194","88666112","7929856","8921088","15400","C:\Program Files (x86)\Cobian Backup 11\cbService.exe","Luis Cobian, CobianSoft","1.015625","11.2.0.200","11.2.0.0","Cobian Backup 11 Gravity - Service","Cobian Backup 11 Gravity","Process","8",,"False",,"3512","Microsoft.Win32.SafeHandles.SafeProcessHandle","194","4060",".","0","","System.Diagnostics.ProcessModule (cbService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15400","15400","8921088","8921088","146152","146152","9228288","9228288","12992512","12992512","95739904","95739904","True","Normal","8921088","8921088","00:00:00.6093750","cbService","255","True","0","System.Diagnostics.ProcessStartInfo","02/03/2019 19:09:15",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0156250","00:00:00.4062500","88666112","88666112","False",,,,"7929856","7929856",,
"cbVSCService11","0","223","4858556416","6189056","21897216","27680","C:\Program Files (x86)\Cobian Backup 11\cbVSCService11.exe","CobianSoft, Luis Cobian","0.15625","11.0.0.0","11.0.0.0","Cobian Backup Gravity VSC Requester","Cobian Backup Gravity","Process","8",,"False",,"3732","Microsoft.Win32.SafeHandles.SafeProcessHandle","223","4024",".","0","","System.Diagnostics.ProcessModule (cbVSCService11.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27680","27680","21897216","21897216","213512","213512","24899584","24899584","17154048","17154048","568307712","4863275008","True","Normal","21897216","21897216","00:00:00.1093750","cbVSCService11","255","True","0","System.Diagnostics.ProcessStartInfo","02/03/2019 19:09:15",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0468750","563589120","4858556416","False",,,,"6189056","6189056",,
"chrome","2","551","2204130508800","102494208","146194432","35528","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","17.328125","72.0.3626.119","72.0.3626.119","Google Chrome","Google Chrome","Process","8",,"False",,"4720","Microsoft.Win32.SafeHandles.SafeProcessHandle","551","3224",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","35528","35528","146194432","146194432","631912","631912","643072000","643072000","188940288","188940288","1172549632","2204490772480","True","Normal","146194432","146194432","00:00:06.2500000","chrome","255","True","2","System.Diagnostics.ProcessStartInfo","03/03/2019 19:27:47",,"System.Diagnostics.ProcessThreadCollection","00:00:17.3281250","00:00:11.0781250","812285952","2204130508800","False",,,,"102494208","102494208",,
"chrome","2","222","2203457384448","8421376","2158592","11080","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.046875","72.0.3626.119","72.0.3626.119","Google Chrome","Google Chrome","Process","8",,"False",,"4000","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","3296",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11080","11080","2158592","2158592","172592","172592","2158592","2158592","8450048","8450048","139227136","2203457449984","True","Normal","2158592","2158592","00:00:00.0468750","chrome","255","True","2","System.Diagnostics.ProcessStartInfo","03/03/2019 19:27:47",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","139161600","2203457384448","False",,,,"8421376","8421376",,
"chrome","2","273","2203751051264","23461888","14712832","19848","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.109375","72.0.3626.119","72.0.3626.119","Google Chrome","Google Chrome","Process","4",,"False",,"3860","Microsoft.Win32.SafeHandles.SafeProcessHandle","273","3640",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19848","19848","14712832","14712832","436472","436472","14721024","14721024","23465984","23465984","432828416","2203751051264","True","Idle","14712832","14712832","00:00:00.0781250","chrome","255","True","2","System.Diagnostics.ProcessStartInfo","03/03/2019 19:40:11",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0312500","432828416","2203751051264","False",,,,"23461888","23461888",,
